feature,shap_importance
Did_Police_Officer_Attend_Scene_of_Accident,11.500383377075195
Location_Northing_OSGR,0.3311319351196289
Police_Force,0.24390360713005066
Location_Easting_OSGR,0.2029303014278412
Local_Authority_(District),0.1754603087902069
Longitude,0.13650937378406525
Latitude,0.01907219924032688
Junction_Control,0.0053423005156219006
1st_Road_Number,0.00124923896510154
Number_of_Vehicles,0.0
Road_Surface_Conditions,0.0
Road_Type,0.0
Pedestrian_Crossing-Physical_Facilities,0.0
Special_Conditions_at_Site,0.0
Speed_limit,0.0
Urban_or_Rural_Area,0.0
Pedestrian_Crossing-Human_Control,0.0
1st_Road_Class,0.0
Number_of_Casualties,0.0
Light_Conditions,0.0
Junction_Detail,0.0
Day_of_Week,0.0
Carriageway_Hazards,0.0
Accident_Severity,0.0
2nd_Road_Number,0.0
2nd_Road_Class,0.0
Weather_Conditions,0.0
